index,Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,User_Score,Rating
44,Halo 4,X360,2012,Shooter,Microsoft Game Studios,87,7,M
45,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,93,9,T
46,Just Dance 2,Wii,2010,Misc,Ubisoft,74,7.3,E10+
47,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,71,2.6,M
48,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,94,8.4,M
49,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,88,8.7,E
50,Mario Party DS,DS,2007,Misc,Nintendo,72,7.8,E
51,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,96,8.4,M
52,FIFA 16,PS4,2015,Sports,Electronic Arts,82,4.3,E
53,Halo 2,XB,2004,Shooter,Microsoft Game Studios,95,8.2,M
54,Wii Party,Wii,2010,Misc,Nintendo,68,7.4,E
55,Mario Party 8,Wii,2007,Misc,Nintendo,62,6.3,E
56,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,88,6.6,E
57,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,92,8.7,T
58,The Sims 3,PC,2009,Simulation,Electronic Arts,86,7.6,T
59,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,90,8.6,T
60,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,83,8.5,E
61,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,88,7.6,M
62,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,83,5.7,M
63,FIFA 17,PS4,2016,Sports,Electronic Arts,85,5,E
64,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,97,9.1,E
65,Call of Duty: World at War,X360,2008,Shooter,Activision,84,7.6,M
66,Battlefield 3,X360,2011,Shooter,Electronic Arts,84,7.4,M
67,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,85,8.6,E
68,Just Dance,Wii,2009,Misc,Ubisoft,49,8,E10+
69,Battlefield 3,PS3,2011,Shooter,Electronic Arts,85,7.5,M
70,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,87,6.5,M
71,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,96,9.1,T
72,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,95,9,T
73,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,91,8.9,E
74,Mario Kart 8,WiiU,2014,Racing,Nintendo,88,9.1,E
75,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,92,9.1,T
76,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,82,8.6,E
77,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,88,8.5,T
78,Just Dance 4,Wii,2012,Misc,Ubisoft,74,7.3,E10+
79,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,93,7.7,M
80,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,92,8.3,T
81,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,94,8.4,M
82,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,96,8.8,T
83,Big Brain Academy,DS,2005,Misc,Nintendo,74,7.4,E
84,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,95,8.8,M
85,FIFA 14,PS3,2013,Sports,Electronic Arts,86,4.3,E
86,Assassin's Creed III,PS3,2012,Action,Ubisoft,85,6.9,M
87,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,87,8.6,E
88,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,97,8.6,M
89,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,92,6.4,M
90,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,76,9,E
91,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85,8.8,E
92,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,83,7.1,M
93,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,95,9,M
94,Super Mario Sunshine,GC,2002,Platform,Nintendo,92,8.6,E
95,World of Warcraft,PC,2004,Role-Playing,Activision,93,7.3,T
96,Driver,PS,1999,Action,GT Interactive,87,8.1,T
97,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,91,7.8,M
98,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,73,7.4,E10+
99,Gears of War,X360,2006,Shooter,Microsoft Game Studios,94,8.3,M
100,FIFA 15,PS4,2014,Sports,Electronic Arts,82,5.7,E
101,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,96,8.7,M
102,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94,9.4,M
103,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,94,8.7,M
104,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,92,7.6,T
105,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,95,9.1,M
106,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,95,6.8,E
107,Resident Evil 2,PS,1998,Action,Virgin Interactive,89,9.2,M
108,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,87,8.8,E10+
109,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,89,8.9,T
110,Destiny,PS4,2014,Shooter,Activision,76,6.1,T
111,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,80,8.9,E10+
112,Cooking Mama,DS,2006,Simulation,505 Games,67,7.2,E
113,Assassin's Creed II,PS3,2009,Action,Ubisoft,91,8.6,M
114,Assassin's Creed,X360,2007,Adventure,Ubisoft,81,7.7,M
115,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,92,8,E
116,Super Mario Advance,GBA,2001,Platform,Nintendo,84,7.8,E
117,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,81,8.7,T
118,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,96,8.6,T
119,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,97,7.9,M
120,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,93,8.3,E
121,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,66,7.1,E
122,Call of Duty: World at War,PS3,2008,Shooter,Activision,85,7.6,M
123,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,93,7.9,T
124,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,83,7.3,T
125,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,94,8.9,T
126,Assassin's Creed III,X360,2012,Action,Ubisoft,84,6.7,M
127,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,85,6.6,T
128,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,81,5.4,M
129,Assassin's Creed II,X360,2009,Action,Ubisoft,90,8.8,M
130,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,84,8.1,E
131,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,89,8.8,T
132,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,85,8.6,E
133,FIFA Soccer 13,X360,2012,Action,Electronic Arts,90,6.1,E
134,Diablo III,PC,2012,Role-Playing,Activision,88,4,M
135,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,68,7.6,T
136,Guitar Hero II,PS2,2006,Misc,RedOctane,92,8.5,T
137,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,80,6.5,M
138,Resident Evil 5,PS3,2009,Action,Capcom,84,7.5,M
139,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,90,8,E
140,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,89,8,E
141,Resident Evil,PS,1996,Action,Virgin Interactive,91,9,M
142,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,86,8,M
143,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,92,9.2,T
144,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,82,8.2,T
145,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,68,7.1,T
146,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,93,8.5,M
147,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,88,8.1,T
148,Madden NFL 06,PS2,2005,Sports,Electronic Arts,88,8,E
149,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,93,8.2,T
150,Assassin's Creed,PS3,2007,Adventure,Ubisoft,81,7.3,M
151,God of War III,PS3,2010,Action,Sony Computer Entertainment,92,8.7,M
152,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,88,9,E
153,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,80,5.4,E
154,Driver 2,PS,2000,Action,Atari,62,7.7,T
155,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,94,8.7,T
156,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,98,7.7,T
157,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,82,8.2,T
158,Tomb Raider,PS,1996,Action,Eidos Interactive,91,8.6,T
159,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,73,7.6,E
160,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,86,8.1,T
161,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,96,8.9,E
162,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,86,8.4,T
163,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,86,8.4,E
164,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,91,8.2,E
165,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,91,7.9,E
166,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,85,7.9,T
167,Madden NFL 07,PS2,2006,Sports,Electronic Arts,84,8.2,E
168,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,84,6.4,T
169,Spider-Man: The Movie,PS2,2002,Action,Activision,76,7.9,E
170,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,77,3.4,M
171,God of War,PS2,2005,Action,Sony Computer Entertainment,94,8.9,M
172,Splatoon,WiiU,2015,Shooter,Nintendo,81,8.5,E10+
173,Nintendo Land,WiiU,2012,Misc,Nintendo,77,7.9,E10+
174,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,97,7.5,T
175,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,86,8.9,E
176,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,94,8.7,M
177,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,82,9.1,T
178,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,56,8.3,E10+
179,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,86,8.1,M
180,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,87,9,E10+
181,Super Mario 3D World,WiiU,2013,Platform,Nintendo,93,9,E
182,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,89,6.5,M
183,Namco Museum,GBA,2001,Misc,Namco Bandai Games,79,7.3,E
184,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,91,8.9,T
185,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,91,9.3,M
186,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,80,7.5,M
187,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,88,6.2,M
188,FIFA 14,X360,2013,Sports,Electronic Arts,84,4.2,E
189,Daxter,PSP,2006,Platform,Sony Computer Entertainment,85,8.7,E10+
190,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,80,7.8,E
191,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,80,7.5,E
192,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,80,7.1,E
193,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,80,7.2,M
194,Street Fighter IV,PS3,2009,Fighting,Capcom,94,7.3,T
195,Madden NFL 2003,PS2,2002,Sports,Electronic Arts,95,7.7,E
196,Half-Life,PC,1997,Shooter,Vivendi Games,96,9.1,M
197,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,91,7.9,T
198,Battlefield 1,PS4,2016,Shooter,Electronic Arts,88,8.4,M
199,God of War II,PS2,2007,Action,Sony Computer Entertainment,93,8.9,M
200,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,84,8.1,M
201,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,90,8.3,E
202,Carnival Games,Wii,2007,Misc,Take-Two Interactive,56,6,E
203,Watch Dogs,PS4,2014,Action,Ubisoft,80,6.3,M
204,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,85,8.5,T
205,Far Cry 4,PS4,2014,Shooter,Ubisoft,85,7.7,M
206,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,89,8.6,M
207,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,92,9.2,M
208,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,70,4.9,M
209,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,87,7.6,M
210,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,93,8,E10+
211,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,90,8,M
212,Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,84,8.8,E10+
213,EA Sports Active,Wii,2009,Sports,Electronic Arts,81,8.7,E
214,Tony Hawk's Underground,PS2,2003,Sports,Activision,90,8.7,T
215,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,86,8.7,T
216,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,94,8.1,M
217,NBA 2K16,PS4,2015,Sports,Take-Two Interactive,87,6.7,E10+
218,Tekken 5,PS2,2005,Fighting,Namco Bandai Games,88,8.6,T
219,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,84,7.4,T
220,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,91,9.1,E
221,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,76,7.9,E10+
222,Call of Duty: Ghosts,PS4,2013,Shooter,Activision,78,3.7,M
223,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,59,4,E
224,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,80,7,M
225,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,68,6.9,E
226,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,77,7.5,E10+
227,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,79,8,T
228,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,64,7.5,E
229,Super Paper Mario,Wii,2007,Platform,Nintendo,85,7.9,E
230,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,91,8.8,E
231,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,88,8.1,M
232,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,81,7.6,E
233,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,94,8.5,T
234,MySims,DS,2007,Simulation,Electronic Arts,67,7.3,E
235,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,74,8.4,E10+
236,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,82,7.9,M
237,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,90,8.7,E
238,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,82,7.9,E
239,Resident Evil 4,PS2,2005,Action,Capcom,96,8.9,M
240,Guitar Hero: World Tour,Wii,2008,Misc,Activision,86,7.6,T
241,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,91,7.6,E
242,Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,82,8.7,T
243,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,64,7.7,T
244,Luigi's Mansion,GC,2001,Action,Nintendo,78,8.5,E
245,Battlefield 4,PS4,2013,Shooter,Electronic Arts,85,6.9,M
246,Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,84,9,T
247,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,70,8,E
248,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,78,7.8,M
249,The Getaway,PS2,2002,Action,Sony Computer Entertainment,72,6.8,M
250,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,72,7.9,T
251,FIFA Soccer 11,X360,2010,Sports,Electronic Arts,88,7.5,E
252,Left 4 Dead,X360,2008,Shooter,Electronic Arts,89,7.9,M
253,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,72,4.1,M
254,Resident Evil 5,X360,2009,Action,Capcom,83,7.5,M
255,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,89,8.3,M
256,Battlefield 4,PS3,2013,Shooter,Electronic Arts,80,5.8,M
257,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,92,8.7,T
258,Battlefield 4,X360,2013,Shooter,Electronic Arts,79,5.6,M
259,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,88,8.6,M
260,Guitar Hero: On Tour,DS,2008,Misc,Activision,71,8.8,E10+
261,Clubhouse Games,DS,2006,Misc,Nintendo,83,8.4,E
262,Borderlands,X360,2009,Shooter,Take-Two Interactive,84,8.2,M
263,Tekken 4,PS2,2002,Fighting,Namco Bandai Games,79,8.3,T
264,Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,70,8,T
265,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,93,8.2,M
266,Spider-Man 2,PS2,2004,Action,Activision,80,8.9,T
267,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,88,6.7,E
268,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,91,8.4,E
269,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,68,8.2,E
270,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,76,6.8,M
271,LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,76,7.9,E10+
272,Destiny,XOne,2014,Shooter,Activision,75,5.5,T
273,Far Cry 3,PS3,2012,Shooter,Ubisoft,90,8.5,M
274,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,77,8.5,T
275,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,60,7.2,T
276,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,87,7.8,E10+
277,Max Payne,PS2,2001,Shooter,Take-Two Interactive,80,8.5,M
278,Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,86,7.9,M
279,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,85,8.7,T
280,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,82,7.5,M
281,True Crime: Streets of LA,PS2,2003,Action,Activision,77,8,M
282,Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,86,9.2,E10+
283,FIFA 16,XOne,2015,Sports,Electronic Arts,84,4.4,E
284,Wii Music,Wii,2008,Misc,Nintendo,63,4.6,E
285,Madden NFL 16,PS4,2015,Sports,Electronic Arts,83,5.9,E
286,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,81,7.7,E
287,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,85,7.2,M
288,Super Mario Maker,WiiU,2015,Platform,Nintendo,88,8.7,E
289,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,91,8.6,M
290,Enter the Matrix,PS2,2003,Action,Atari,62,8.1,T
291,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,83,8,T
292,Dance Central,X360,2010,Misc,MTV Games,82,7.6,T
293,L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,89,7.7,M
294,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,89,9.1,E
295,Animal Crossing,GC,2001,Simulation,Nintendo,87,8.9,E
296,FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,83,6.5,E
297,Spider-Man,PS,2000,Action,Activision,87,9,E
298,Mario Party 9,Wii,2012,Misc,Nintendo,73,6.8,E
299,Sonic Rush,DS,2005,Platform,Sega,82,8.5,E
300,Rhythm Heaven,DS,2008,Misc,Nintendo,83,9,E
301,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,82,7.8,M
302,Personal Trainer: Cooking,DS,2006,Misc,Nintendo,81,7.8,E
303,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,93,8,M
304,The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,91,8.9,E
305,Resident Evil 6,PS3,2012,Shooter,Capcom,74,5.4,M
306,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,96,8.9,M
307,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,67,7.9,T
308,Madden NFL 2002,PS2,2001,Sports,Electronic Arts,94,7.9,E
309,The Sims: Vacation,PC,2002,Simulation,Electronic Arts,75,7.8,T
310,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,66,6.9,E
311,The Sims 4,PC,2014,Simulation,Electronic Arts,70,3.9,T
312,Borderlands 2,X360,2012,Shooter,Take-Two Interactive,89,8.2,M
313,LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,72,8,E10+
314,Kung Fu Panda,X360,2008,Action,Activision,75,7.4,E10+
315,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,93,5.8,M
316,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,87,7.7,M
317,Saints Row 2,X360,2008,Action,THQ,81,8.1,M
318,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,93,8.5,T
319,FIFA 14,PS4,2013,Sports,Electronic Arts,87,6.3,E
320,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,91,8.1,M
321,Far Cry 3,X360,2012,Shooter,Ubisoft,91,8.6,M
322,Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,73,7,E
323,NBA 2K13,X360,2012,Sports,Take-Two Interactive,88,7.2,E
324,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,73,9.2,T
325,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,82,6.6,T
326,World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,93,9.1,E
327,Devil May Cry,PS2,2001,Action,Capcom,94,8.5,M
328,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,85,5.9,T
329,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,84,8.1,M
330,Sonic Heroes,PS2,2003,Platform,Sega,64,7.8,E
331,Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,85,7.8,M
332,Titanfall,XOne,2014,Shooter,Electronic Arts,86,6.4,M
333,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,88,8.5,M
334,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,87,9,M
335,Pac-Man Collection,GBA,2001,Puzzle,Atari,79,7.8,E
336,Street Fighter IV,X360,2009,Fighting,Capcom,93,7.3,T
337,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,85,8.3,T
338,Kirby Super Star Ultra,DS,2008,Platform,Nintendo,76,8.8,E
339,Call of Duty: Ghosts,XOne,2013,Shooter,Activision,78,4.3,M
340,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,91,8.7,M
341,Sonic Mega Collection Plus,PS2,2004,Misc,Sega,73,8.6,E
342,World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,93,9,E
